alert_id,user,date,risk_level,ensemble_score,ae_score,if_score,both_flagged,reason_count,reason_summary,high_reasons,device_count,email_external,http_suspicious,sensitive_files
ALERT-GKO0078-20110322,gko0078,2011-03-22,CRITICAL,0.8726,1.0,0.7452,True,2,USB/device activity (8 events) is 4.1x above this user's normal (1.9 avg); 94% of session activity occurred outside business hours (baseline: 11%),1,8,12,0,0
ALERT-DLM0051-20110317,dlm0051,2011-03-17,CRITICAL,0.854,0.9158,0.7922,True,1,"Visited 47 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,1,47,0
ALERT-DLM0051-20101022,dlm0051,2010-10-22,CRITICAL,0.8272,0.9292,0.7253,True,1,51% of session activity occurred outside business hours (baseline: 14%),0,18,10,0,0
ALERT-DLM0051-20100703,dlm0051,2010-07-03,CRITICAL,0.827,0.8339,0.8201,True,1,"Visited 39 suspicious URLs (job boards, cloud storage, competitor sites)",0,17,8,39,0
ALERT-DLM0051-20100527,dlm0051,2010-05-27,CRITICAL,0.8117,0.8638,0.7596,True,2,"Visited 18 suspicious URLs (job boards, cloud storage, competitor sites); 47% of session activity occurred outside business hours (baseline: 16%)",0,18,11,18,0
ALERT-MPM0220-20100628,mpm0220,2010-06-28,HIGH,0.7956,0.6316,0.9596,True,2,Logged into 6 different machines in one day — possible lateral movement; 66% of session activity occurred outside business hours (baseline: 17%),1,28,8,0,0
ALERT-HTH0007-20110301,hth0007,2011-03-01,HIGH,0.7834,0.7978,0.7689,True,1,99% of session activity occurred outside business hours (baseline: 19%),0,0,22,1,0
ALERT-DLM0051-20101220,dlm0051,2010-12-20,HIGH,0.7674,0.8263,0.7086,True,1,50% of session activity occurred outside business hours (baseline: 15%),0,18,9,0,0
ALERT-DLM0051-20100304,dlm0051,2010-03-04,HIGH,0.7644,0.6059,0.923,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 34 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,4,34,1
ALERT-BRM0995-20110419,brm0995,2011-04-19,HIGH,0.7587,0.8178,0.6997,True,1,47% of session activity occurred outside business hours (baseline: 30%),0,18,3,0,0
ALERT-BRM0995-20100217,brm0995,2010-02-17,HIGH,0.7497,0.8412,0.6582,True,1,45% of session activity occurred outside business hours (baseline: 28%),0,18,9,0,0
ALERT-PPF0435-20110204,ppf0435,2011-02-04,HIGH,0.7335,0.8373,0.6296,True,1,USB/device activity (18 events) is 15.9x above this user's normal (1.1 avg),1,18,0,2,0
ALERT-AIB0948-20101221,aib0948,2010-12-21,HIGH,0.7329,0.7104,0.7553,True,1,72% of session activity occurred outside business hours (baseline: 11%),0,18,0,1,0
ALERT-BRM0995-20110502,brm0995,2011-05-02,HIGH,0.732,0.8565,0.6075,True,0,,0,18,1,0,0
ALERT-BRM0995-20100122,brm0995,2010-01-22,HIGH,0.7303,0.753,0.7077,True,1,54% of session activity occurred outside business hours (baseline: 27%),0,18,4,0,0
ALERT-VTT0385-20100414,vtt0385,2010-04-14,HIGH,0.7256,0.9285,0.5227,True,0,,0,18,7,0,0
ALERT-BRM0995-20110208,brm0995,2011-02-08,HIGH,0.7232,0.9401,0.5064,True,0,,0,18,3,0,0
ALERT-DLM0051-20110429,dlm0051,2011-04-29,HIGH,0.7171,0.5573,0.8768,True,1,"Visited 29 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,13,29,0
ALERT-MCF0600-20100920,mcf0600,2010-09-20,HIGH,0.7164,0.5384,0.8943,True,2,81% of session activity occurred outside business hours (baseline: 16%); Login at hour 1:00 deviates 7.0 hours from personal baseline (8.0h avg),0,20,1,1,0
ALERT-PPF0435-20110202,ppf0435,2011-02-02,HIGH,0.7163,0.8588,0.5737,True,3,"USB/device activity (18 events) is 33.8x above this user's normal (0.5 avg); Visited 9 suspicious URLs (job boards, cloud storage, competitor sites); 40% of session activity occurred outside business hours (baseline: 2%)",1,18,1,9,0
ALERT-HRL0540-20110408,hrl0540,2011-04-08,HIGH,0.7156,0.6144,0.8168,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 4 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,5,4,1
ALERT-RSC0089-20100408,rsc0089,2010-04-08,HIGH,0.7151,0.6978,0.7324,True,2,"Logged into 3 different machines in one day — possible lateral movement; Visited 4 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,6,4,0
ALERT-MPM0220-20100318,mpm0220,2010-03-18,HIGH,0.7059,0.4797,0.932,True,3,Logged into 6 different machines in one day — possible lateral movement; 43% of session activity occurred outside business hours (baseline: 19%); Login at hour 7:00 deviates 3.6 hours from personal baseline (3.4h avg),1,28,1,0,0
ALERT-HRL0540-20100803,hrl0540,2010-08-03,HIGH,0.7028,0.7629,0.6426,True,0,,0,18,6,0,0
ALERT-MPM0220-20100804,mpm0220,2010-08-04,HIGH,0.6852,0.4311,0.9393,True,2,Logged into 5 different machines in one day — possible lateral movement; 48% of session activity occurred outside business hours (baseline: 19%),1,25,11,0,0
ALERT-EHB0824-20100720,ehb0824,2010-07-20,HIGH,0.6808,0.617,0.7446,True,1,83% of session activity occurred outside business hours (baseline: 26%),0,18,0,1,0
ALERT-KKW0879-20100907,kkw0879,2010-09-07,HIGH,0.6761,0.6273,0.7248,True,2,58% of session activity occurred outside business hours (baseline: 5%); Login at hour 1:00 deviates 5.8 hours from personal baseline (6.8h avg),0,16,11,0,0
ALERT-DLM0051-20100903,dlm0051,2010-09-03,HIGH,0.6751,0.4724,0.8778,True,1,"Visited 30 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,9,30,0
